ticker,date,company,industry,sector,exchange
MHO,7/12/22,M/I Homes Inc.,Homebuilding & Construction,Consumer Cyclical,New York Stock Exchange
MIC,7/12/22,Macquarie Infrastructure Corporation,Transportation & Logistics,Industrials,New York Stock Exchange
MICR,7/12/22,Micron Solutions Inc.,Medical Devices,Healthcare,NYSE American
MICT,7/12/22,MICT Inc.,Aerospace & Defense,Industrials,NASDAQ Capital Market
MIDD,7/12/22,The Middleby Corporation,Industrial Products,Industrials,Nasdaq Global Select
MIE,7/12/22,Cohen & Steers MLP Income and Energy Opportunity Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MIK,7/12/22,The Michaels Companies Inc.,Retail - Apparel & Specialty,Consumer Cyclical,Nasdaq Global Select
MIME,7/12/22,Mimecast Limited,Application Software,Technology,Nasdaq Global Select
MIN,7/12/22,MFS Intermediate Income Trust,Asset Management,Financial Services,New York Stock Exchange
MIND,7/12/22,Mitcham Industries Inc.,Computer Hardware,Technology,Nasdaq Global Select
MINI,7/12/22,Mobile Mini Inc.,Consulting & Outsourcing,Industrials,Nasdaq Global Select
MITK,7/12/22,Mitek Systems Inc.,Application Software,Technology,NASDAQ Capital Market
MITT,7/12/22,AG Mortgage Investment Trust Inc.,REITs,Real Estate,New York Stock Exchange
MIXT,7/12/22,MiX Telematics Limited American Depositary Shares each representing 25,Application Software,Technology,New York Stock Exchange
MIY,7/12/22,Blackrock MuniYield Michigan Quality Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MJCO,7/12/22,Majesco,Application Software,Technology,NYSE American
MKC,7/12/22,McCormick & Company Incorporated,Consumer Packaged Goods,Consumer Defensive,New York Stock Exchange
MKC.V,7/12/22,McCormick & Company Incorporated,Consumer Packaged Goods,Consumer Defensive,New York Stock Exchange
MKGI,7/12/22,Monaker Group Inc.,Advertising & Marketing Services,Consumer Cyclical,NASDAQ Capital Market
MKL,7/12/22,Markel Corporation,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
MKSI,7/12/22,MKS Instruments Inc.,Computer Hardware,Technology,Nasdaq Global Select
MKTX,7/12/22,MarketAxess Holdings Inc.,Brokers & Exchanges,Financial Services,Nasdaq Global Select
MLAB,7/12/22,Mesa Laboratories Inc.,Computer Hardware,Technology,Nasdaq Global Select
MLCO,7/12/22,Melco Resorts & Entertainment Limited,Travel & Leisure,Consumer Cyclical,Nasdaq Global Select
MLHR,7/12/22,Herman Miller Inc.,Industrial Products,Industrials,Nasdaq Global Select
MLI,7/12/22,Mueller Industries Inc.,Industrial Products,Industrials,New York Stock Exchange
MLM,7/12/22,Martin Marietta Materials Inc.,Building Materials,Basic Materials,New York Stock Exchange
MLND,7/12/22,Millendo Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
MLNT,7/12/22,Melinta Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
MLNX,7/12/22,Mellanox Technologies Ltd.,Semiconductors,Technology,Nasdaq Global Select
MLP,7/12/22,Maui Land & Pineapple Company Inc.,Real Estate Services,Real Estate,New York Stock Exchange
MLR,7/12/22,Miller Industries Inc.,Autos,Consumer Cyclical,New York Stock Exchange
MLSS,7/12/22,Milestone Scientific Inc.,Medical Instruments & Equipment,Healthcare,NYSE American
MLVF,7/12/22,Malvern Bancorp Inc.,Banks,Financial Services,NASDAQ Global Market
MMAC,7/12/22,MMA Capital Holdings Inc.,Banks,Financial Services,NASDAQ Capital Market
MMC,7/12/22,Marsh & McLennan Companies Inc.,Brokers & Exchanges,Financial Services,New York Stock Exchange
MMD,7/12/22,MainStay MacKay DefinedTerm Municipal Opportunities Fund,Asset Management,Financial Services,New York Stock Exchange
MMDM,7/12/22,Modern Media Acquisition Corp.,Conglomerates,Industrials,NASDAQ Capital Market
