ticker,date,company name,industry,sector,description,exchange,market cap,website,ceo
MLVF,21-May-08,Malvern Bancorp Inc.,Banks,Financial Services,"Malvern Bancorp Inc is engaged in attracting deposits from businesses and the general public in Chester County, Pennsylvania and investing those deposits, together with borrowings and funds.",NASDAQ Global Market,161944793,http://www.malvernfederal.com,Anthony C. Weagley
AGNC,15-May-08,AGNC Investment Corp.,REITs,Real Estate,"AGNC Investment Corp is an internally-managed real estate investment trust. It invests in agency mortgage-backed securities on a leveraged basis, financed through collateralized borrowings structured as repurchase agreements.",Nasdaq Global Select,9562229000,http://www.agnc.com,Gary D. Kain
CFX,8-May-08,Colfax Corporation,Industrial Products,Industrials,Colfax Corp is an industrial manufacturing and engineering company. The company provides gas and fluid handling and fabrication services to customers around the world. It also produces equipment and fillers for welding and cutting applications.,New York Stock Exchange,2960026477,http://www.colfaxcorp.com,Matthew L. Trerotola
KDP,7-May-08,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Consumer Defensive,"Dr Pepper Snapple Group Inc manufactures and distributes nonalcoholic beverages in United States, Mexico and the Caribbean, and Canada under various brands such as Dr Pepper, Canada Dry, 7UP, Snapple, Schweppes, Crush, Sunkist, among others.",New York Stock Exchange,38714998240,http://www.drpeppersnapplegroup.com,Robert J. Gamgort
MHLD,6-May-08,Maiden Holdings Ltd.,Insurance - Specialty,Financial Services,Maiden Holdings Ltd provides reinsurance products and services to regional and specialty property and casualty insurers.,Nasdaq Global Select,114460977,http://www.maiden.bm,Lawrence F. Metz
AWK,23-Apr-08,American Water Works Company Inc.,Utilities - Regulated,Utilities,"American Water Works Co Inc provides water and wastewater services to residential, commercial and industrial customers in the United States and Canada.",New York Stock Exchange,17261632731,http://www.amwater.com,Susan N. Story
IPI,22-Apr-08,Intrepid Potash Inc,Agriculture,Basic Materials,"Intrepid Potash Inc produces and sells potash and potash byproducts. The company operates through two main product segments: Potash and Trio primarily producing selling potash and specialty fertilizer that consists of potassium, sulfate, and magnesium.",New York Stock Exchange,409053528,http://www.intrepidpotash.com,Robert P. Jornayvaz
CGA,16-Apr-08,China Green Agriculture Inc.,Agriculture,Basic Materials,"China Green Agriculture Inc is engaged in the research, development, production, and sale of fertilizers and distribution of agricultural products in the People's Republic of China. Its fertilizer business is the major revenue driver for the firm.",New York Stock Exchange,23851607,http://www.cgagri.com,Zhuoyu Li
SGOC,9-Apr-08,SGOCO Group Ltd,Computer Hardware,Technology,"SGOCO Group Ltd is principally engaged in product design, brand development and distribution in the Chinese display and computer product market as well as energy saving products and services.",NASDAQ Capital Market,81547884,http://www.sgocogroup.com,Shi-bin Xie
HGSH,1-Apr-08,China HGS Real Estate Inc.,Real Estate Services,Real Estate,"China HGS Real Estate Inc along with its subsidiaries is engaged in real estate development activities. It is primarily in the construction and sale of residential apartments, car parks, and commercial properties.",NASDAQ Capital Market,44869800,http://www.chinahgs.com,Xiaojun Zhu
HI,28-Mar-08,Hillenbrand Inc,Industrial Products,Industrials,"Hillenbrand Inc is a diversified industrial company that makes and sells premium business-to-business products and services. Its segments include, the Process Equipment Group and Batesville.",New York Stock Exchange,2693150130,http://www.Hillenbrand.com,Joe A. Raver
IRDM,20-Mar-08,Iridium Communications Inc,Communication Services,Communication Services,Iridium Communications Inc is a United States based company which is engaged in providing mobile voice and data communications services through a constellation of low earth orbiting satellites.,Nasdaq Global Select,2088716526,http://www.iridium.com,Matthew J. Desch
V,19-Mar-08,Visa Inc.,Credit Services,Financial Services,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet.",New York Stock Exchange,3.47188E+11,http://www.corporate.visa.com,Alfred F. Kelly
BEAT,19-Mar-08,BioTelemetry Inc.,Medical Diagnostics & Research,Healthcare,"BioTelemetry Inc provides monitoring services and digital population health management for healthcare providers, medical device manufacturing and centralized core laboratory services for clinical research.",Nasdaq Global Select,2547663894,https://www.gobio.com,Joseph H. Capper
PM,17-Mar-08,Philip Morris International Inc,Tobacco Products,Consumer Defensive,Philip Morris International Inc is a holding company. It manufactures and sells cigarettes and other tobacco products in markets outside the United States of America.,New York Stock Exchange,1.17996E+11,http://www.pmi.com,Andre Calantzopoulos
SLS,12-Mar-08,SELLAS Life Sciences Group Inc.,Biotechnology,Healthcare,SELLAS Life Sciences Group Inc is a biopharmaceutical company. The company is engaged in the development of novel cancer immunotherapies for a broad range of cancer indications. Its pipeline products are Galinpepimut-S and NeuVax.,NASDAQ Capital Market,33546323,https://www.sellaslifesciences.com,Angelos Stergiou
HCCI,12-Mar-08,Heritage-Crystal Clean Inc.,Industrial Products,Industrials,"Heritage-Crystal Clean, Inc provides parts cleaning, used oil re-refining and hazardous and non-hazardous waste services to small and mid-sized customers in both the manufacturing and vehicle service sectors.",Nasdaq Global Select,576713727,http://www.crystal-clean.com,Brian J. Recatto
GLBS,11-Mar-08,Globus Maritime Limited,Transportation & Logistics,Industrials,Globus Maritime Ltd owns and operates fleet of dry bulk motor vessels. The Company provides maritime services for the transportation of dry cargo products.,NASDAQ Capital Market,107331,http://www.globusmaritime.gr,Athanasios Feidakis
BPTH,4-Mar-08,Bio-Path Holdings Inc.,Drug Manufacturers,Healthcare,Bio-Path Holdings Inc is a clinical and preclinical stage oncology focused antisense drug development company utilizing novel technology achieving systemic delivery for specific protein inhibition for any gene product that is over-expressed in disease.,NASDAQ Capital Market,3920260,http://www.biopathholdings.com,Peter H. Nielsen
SRCI,28-Feb-08,SRC Energy Inc.,Oil & Gas - E&P,Energy,"SRC Energy Inc, is an oil & natural gas company. It is engaged in the acquisition, development, exploitation, exploration and production of oil and natural gas properties.",NYSE American,1196022087,http://www.srcenergy.com,Lynn A. Peterson
CBPO,31-Jan-08,China Biologic Products Holdings Inc.,Biotechnology,Healthcare,"China Biologic Products Holdings Inc is a biopharmaceutical company engaged in the research, development, manufacturing and sales of plasma-based pharmaceutical products to hospitals and inoculation centers directly or through distributors in China.",Nasdaq Global Select,3126469330,http://www.chinabiologic.com,David Gao
